,activity_type,altitude,ant_device_number,ant_network,ant_transmission_type,antplus_device_type,avg_cadence_position,avg_fractional_cadence,avg_heart_rate,avg_left_power_phase,avg_left_power_phase_peak,avg_power_position,avg_right_power_phase,avg_right_power_phase_peak,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_vertical_oscillation,avg_vertical_ratio,battery_status,battery_voltage,cadence,cum_operating_time,data,device_index,device_type,distance,end_position_lat,end_position_long,enhanced_altitude,enhanced_avg_speed,enhanced_max_speed,enhanced_speed,event,event_group,event_type,first_lap_index,fractional_cadence,garmin_product,hardware_version,heart_rate,lap_trigger,local_timestamp,manufacturer,max_cadence_position,max_fractional_cadence,max_heart_rate,max_power_position,max_running_cadence,max_speed,message_index,name,nec_lat,nec_long,num_laps,num_sessions,position_lat,position_long,product,serial_number,software_version,source_type,speed,sport,stance_time,stance_time_balance,stance_time_percent,start_position_lat,start_position_long,start_time,step_length,sub_sport,swc_lat,swc_long,temperature,time_created,time_in_hr_zone,time_in_power_zone,timer_trigger,timestamp,total_ascent,total_calories,total_descent,total_distance,total_elapsed_time,total_strides,total_timer_time,total_training_effect,type,vertical_oscillation,vertical_ratio
0,running,252.20000000000005,,,,,,,,,,,,,,,,,,,,,,,64,,,,,148.55,,,252.20000000000005,,,1.502,,,,,0.0,,,123,,,,,,,,,,,,,,,,492763649,-1146596863,,,,,1.502,,470.0,49.87,49.0,,,,729.0,,,,26,,,,,2019-01-01 16:46:30,,,,,,,,,,52.5,7.68
0,walking,252.20000000000005,,,,,,,,,,,,,,,,,,,,,,,64,,,,,150.15,,,252.20000000000005,,,1.54,,,,,0.0,,,124,,,,,,,,,,,,,,,,492763478,-1146596847,,,,,1.54,,,,,,,,768.0,,,,26,,,,,2019-01-01 16:46:31,,,,,,,,,,54.5,7.5
0,running,252.20000000000005,,,,,,,,,,,,,,,,,,,,,,,64,,,,,154.91,,,252.20000000000005,,,1.568,,,,,0.5,,,123,,,,,,,,,,,,,,,,492762965,-1146596799,,,,,1.568,,461.0,49.31,49.0,,,,798.0,,,,26,,,,,2019-01-01 16:46:34,,,,,,,,,,57.5,7.31
0,walking,252.20000000000005,,,,,,,,,,,,,,,,,,,,,,,63,,,,,157.72,,,252.20000000000005,,,1.568,,,,,0.0,,,124,,,,,,,,,,,,,,,,492762668,-1146596718,,,,,1.568,,,,,,,,819.0,,,,26,,,,,2019-01-01 16:46:36,,,,,,,,,,64.2,7.21
0,running,252.20000000000005,,,,,,,,,,,,,,,,,,,,,,,61,,,,,159.11,,,252.20000000000005,,,1.568,,,,,0.0,,,124,,,,,,,,,,,,,,,,492762524,-1146596663,,,,,1.568,,470.0,49.31,48.5,,,,817.0,,,,26,,,,,2019-01-01 16:46:37,,,,,,,,,,61.5,7.21
0,walking,252.0,,,,,,,,,,,,,,,,,,,,,,,61,,,,,160.59,,,252.0,,,1.549,,,,,0.0,,,124,,,,,,,,,,,,,,,,492762370,-1146596610,,,,,1.549,,,,,,,,785.0,,,,26,,,,,2019-01-01 16:46:38,,,,,,,,,,59.5,7.12
0,walking,252.39999999999998,,,,,,,,,,,,,,,,,,,,,,,62,,,,,174.45,,,252.39999999999998,,,1.689,,,,,0.5,,,121,,,,,,,,,,,,,,,,492760924,-1146596272,,,,,1.689,,,,,,,,823.0,,,,26,,,,,2019-01-01 16:46:46,,,,,,,,,,63.2,7.21
0,running,252.39999999999998,,,,,,,,,,,,,,,,,,,,,,,62,,,,,176.18,,,252.39999999999998,,,1.689,,,,,0.0,,,121,,,,,,,,,,,,,,,,492760739,-1146596305,,,,,1.689,,479.0,49.03,49.25,,,,834.0,,,,26,,,,,2019-01-01 16:46:47,,,,,,,,,,62.5,7.21
0,walking,253.0,,,,,,,,,,,,,,,,,,,,,,,63,,,,,189.47,,,253.0,,,1.726,,,,,0.5,,,122,,,,,,,,,,,,,,,,492759338,-1146596670,,,,,1.726,,,,,,,,808.0,,,,26,,,,,2019-01-01 16:46:55,,,,,,,,,,55.5,6.71
0,walking,253.39999999999998,,,,,,,,,,,,,,,,,,,,,,,62,,,,,206.12,,,253.39999999999998,,,1.633,,,,,0.5,,,125,,,,,,,,,,,,,,,,492757944,-1146598097,,,,,1.633,,,,,,,,849.0,,,,26,,,,,2019-01-01 16:47:06,,,,,,,,,,51.7,6.34
