0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
altitude: 333.79999999999995 [m],cadence: 61 [rpm],distance: 17.7 [m],enhanced_altitude: 333.79999999999995 [m],enhanced_speed: 1.082 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 93 [bpm],position_lat: 492377184 [semicircles],position_long: -1145963755 [semicircles],speed: 1.082 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:00,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 333.6 [m],cadence: 61 [rpm],distance: 20.15 [m],enhanced_altitude: 333.6 [m],enhanced_speed: 1.736 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 92 [bpm],position_lat: 492377447 [semicircles],position_long: -1145963764 [semicircles],speed: 1.736 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:01,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 333.79999999999995 [m],cadence: 84 [rpm],distance: 24.05 [m],enhanced_altitude: 333.79999999999995 [m],enhanced_speed: 2.071 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 91 [bpm],position_lat: 492377852 [semicircles],position_long: -1145963623 [semicircles],speed: 2.071 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:03,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.20000000000005 [m],cadence: 86 [rpm],distance: 29.19 [m],enhanced_altitude: 334.20000000000005 [m],enhanced_speed: 1.614 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 88 [bpm],position_lat: 492377934 [semicircles],position_long: -1145962872 [semicircles],speed: 1.614 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:08,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.20000000000005 [m],cadence: 86 [rpm],distance: 30.54 [m],enhanced_altitude: 334.20000000000005 [m],enhanced_speed: 1.614 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 85 [bpm],position_lat: 492377950 [semicircles],position_long: -1145962678 [semicircles],speed: 1.614 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:09,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.20000000000005 [m],cadence: 61 [rpm],distance: 34.56 [m],enhanced_altitude: 334.20000000000005 [m],enhanced_speed: 1.54 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 88 [bpm],position_lat: 492377889 [semicircles],position_long: -1145962081 [semicircles],speed: 1.54 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:12,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.4 [m],cadence: 61 [rpm],distance: 36.14 [m],enhanced_altitude: 334.4 [m],enhanced_speed: 1.446 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 93 [bpm],position_lat: 492377877 [semicircles],position_long: -1145961847 [semicircles],speed: 1.446 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:13,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.6 [m],cadence: 61 [rpm],distance: 39.88 [m],enhanced_altitude: 334.6 [m],enhanced_speed: 1.418 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 96 [bpm],position_lat: 492377890 [semicircles],position_long: -1145961295 [semicircles],speed: 1.418 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:15,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.6 [m],cadence: 61 [rpm],distance: 45.96 [m],enhanced_altitude: 334.6 [m],enhanced_speed: 1.446 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 93 [bpm],position_lat: 492377859 [semicircles],position_long: -1145960413 [semicircles],speed: 1.446 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:18,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 334.79999999999995 [m],cadence: 59 [rpm],distance: 52.18 [m],enhanced_altitude: 334.79999999999995 [m],enhanced_speed: 1.549 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 88 [bpm],position_lat: 492377778 [semicircles],position_long: -1145959532 [semicircles],speed: 1.549 [m/s],temperature: 31 [C],timestamp: 2019-01-16 22:56:21,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
